Name,Team,Role,Has_Withdrawn,Is_Captain,Is_ViceCaptain,Age,Batting_Style,Bowling_Style
Tabraiz Shamsi,South Africa,Bowler,false,false,false,34y 72d,Right hand Bat,Left arm Wrist spin
Kusal Mendis,Sri Lanka,Wicketkeeper Batter,false,false,false,29y 97d,Right hand Bat,Legbreak
Pathum Nissanka,Sri Lanka,Top order Batter,false,false,false,25y 357d,Right hand Bat,
Sadeera Samarawickrama,Sri Lanka,Wicketkeeper Batter,false,false,false,28y 253d,Right hand Bat,
Wanindu Hasaranga,Sri Lanka,Allrounder,false,true,false,26y 285d,Right hand Bat,Legbreak
Charith Asalanka,Sri Lanka,Batting Allrounder,false,false,true,26y 315d,Left hand Bat,Right arm Offbreak
Dhananjaya de Silva,Sri Lanka,Allrounder,false,false,false,32y 246d,Right hand Bat,Right arm Offbreak
Angelo Mathews,Sri Lanka,Allrounder,false,false,false,36y 342d,Right hand Bat,Right arm Medium
Kamindu Mendis,Sri Lanka,Allrounder,false,false,false,25y 222d,Left hand Bat,"Right arm Offbreak, Slow Left arm Orthodox"
Dasun Shanaka,Sri Lanka,Allrounder,false,false,false,32y 243d,Right hand Bat,Right arm Medium
Dushmantha Chameera,Sri Lanka,Bowler,false,false,false,32y 119d,Right hand Bat,Right arm Fast
Dilshan Madushanka,Sri Lanka,Bowler,false,false,false,23y 234d,Right hand Bat,Left arm Fast medium
Matheesha Pathirana,Sri Lanka,Bowler,false,false,false,21y 143d,Right hand Bat,Right arm Fast
Maheesh Theekshana,Sri Lanka,Bowler,false,false,false,23y 282d,Right hand Bat,Right arm Offbreak
Nuwan Thushara,Sri Lanka,Bowler,false,false,false,29y 277d,Right hand Bat,Right arm Medium fast
Dunith Wellalage,Sri Lanka,Bowler,false,false,false,21y 121d,Left hand Bat,Slow Left arm Orthodox
Fred Achelam,Uganda,Wicketkeeper Batter,false,false,false,23y 100d,Right hand Bat,
Roger Mukasa,Uganda,Batter,false,false,false,34y 350d,Right hand Bat,Right arm Offbreak
Robinson Obuya,Uganda,Batter,false,false,false,23y 146d,Right hand Bat,
Ronak Patel,Uganda,Batter,false,false,false,35y 262d,Right hand Bat,Slow Left arm Orthodox
Simon Ssesazi,Uganda,Wicketkeeper Batter,false,false,false,27y 260d,Left hand Bat,Right arm Slow
Riazat Ali Shah,Uganda,Batting Allrounder,false,false,true,26y 76d,Right hand Bat,Right arm Medium
Dinesh Nakrani,Uganda,Allrounder,false,false,false,32y 228d,Left hand Bat,Left arm Medium
Frank Nsubuga,Uganda,Allrounder,false,false,false,43y 252d,Right hand Bat,Right arm Offbreak
Alpesh Ramjani,Uganda,Allrounder,false,false,false,29y 225d,Left hand Bat,Slow Left arm Orthodox
Kenneth Waiswa,Uganda,Allrounder,false,false,false,25y 177d,Right hand Bat,Right arm Medium
Brian Masaba,Uganda,Bowler,false,true,false,32y 227d,Right hand Bat,"Right arm Fast medium, Right arm Offbreak, Legbreak Googly"
Bilal Hassan,Uganda,Bowler,false,false,false,34y 21d,Right hand Bat,Right arm Medium fast
