Name,Team,Role,Has_Withdrawn,Is_Captain,Is_ViceCaptain,Age,Batting_Style,Bowling_Style,Matches_Played,Innings_Batted,Notouts,Runs_Scored,Balls_Faced,Highest_Score,Batting_Average,Batting_Strike_Rate,Hundreds,Fifties,Ducks,Fours,Sixes,Innings_Bowled,Overs_Bowled,Maidens_Earned,Runs_Conceded,Wickets_Taken,Best_Bowling_Figures,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Five_Wickets_Haul,Ten_Wickets_Haul,Catches_Taken,Stumpings_Made
Lorcan Tucker,Ireland,Wicketkeeper Batter,false,false,false,27y 240d,Right hand Bat,,3,3,,22,30,10,7.33,73.33,,,,2,0,,,,,,,,,,,,,
Paul Stirling,Ireland,Batting Allrounder,false,true,false,33y 247d,Right hand Bat,Right arm Offbreak,3,3,,12,25,9,4.00,48.00,,,,1,0,,,,,,,,,,,,,
Mark Adair,Ireland,Bowling Allrounder,false,false,false,28y 41d,Right hand Bat,Right arm Fast medium,3,3,,52,45,34,17.33,115.55,,,,5,1,3,12.0,,74,3,1/23,24.66,6.16,24.0,,,1,
Curtis Campher,Ireland,Allrounder,false,false,false,25y 17d,Right hand Bat,Right arm Medium fast,3,3,,23,29,12,7.66,79.31,,,,2,1,3,7.0,,39,2,2/24,19.50,5.57,21.0,,,1,
Gareth Delany,Ireland,Batting Allrounder,false,false,false,27y 9d,Right hand Bat,Legbreak Googly,3,3,,60,40,31,20.00,150.00,,,,3,5,2,3.5,,29,1,1/10,29.00,7.56,23.0,,,1,
George Dockrell,Ireland,Allrounder,false,false,false,31y 290d,Right hand Bat,Slow Left arm Orthodox,3,3,1,44,38,30*,22.00,115.78,,,,4,1,,,,,,,,,,,,,
Graham Hume,Ireland,Bowler,false,false,false,33y 166d,Left hand Bat,Right arm Fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Little,Ireland,Bowler,false,false,false,24y 188d,Right hand Bat,Left arm Fast medium,3,2,1,36,31,22*,36.00,116.12,,,,4,1,,,,,,,,,,,,,
Barry McCarthy,Ireland,Bowler,false,false,false,31y 237d,Right hand Bat,Right arm Fast medium,3,3,1,4,16,2*,2.00,25.00,,,1,0,0,3,10.2,1,57,5,3/15,11.40,5.51,12.4,,,,
Ben White,Ireland,Bowler,false,false,false,25y 252d,Right hand Bat,Legbreak,2,2,2,7,24,5*,0.00,29.16,,,,0,0,2,3.0,,17,2,1/6,8.50,5.66,9.0,,,1,
Craig Young,Ireland,Bowler,false,false,false,34y 33d,Right hand Bat,Right arm Fast medium,1,,,,0,,0.00,0.00,,,,0,0,1,4.0,,32,2,2/32,16.00,8.00,12.0,,,,
Nikolaas Davin,Namibia,Batter,false,false,false,26y 143d,Right hand Bat,Legbreak,4,4,,64,66,24,16.00,96.96,,,,7,2,,,,,,,,,,,,,
